tf.Tensor(14, shape=(), dtype=int64) tf.Tensor(12.944345, shape=(), dtype=float32) 0.793
tf.Tensor(15, shape=(), dtype=int64) tf.Tensor(11.028622, shape=(), dtype=float32) 0.795
tf.Tensor(16, shape=(), dtype=int64) tf.Tensor(14.377854, shape=(), dtype=float32) 0.791
tf.Tensor(17, shape=(), dtype=int64) tf.Tensor(14.063024, shape=(), dtype=float32) 0.8
tf.Tensor(18, shape=(), dtype=int64) tf.Tensor(13.255774, shape=(), dtype=float32) 0.772
tf.Tensor(19, shape=(), dtype=int64) tf.Tensor(11.788046, shape=(), dtype=float32) 0.789
tf.Tensor(20, shape=(), dtype=int64) tf.Tensor(12.613742, shape=(), dtype=float32) 0.784
tf.Tensor(21, shape=(), dtype=int64) tf.Tensor(15.376975, shape=(), dtype=float32) 0.777
tf.Tensor(22, shape=(), dtype=int64) tf.Tensor(14.801504, shape=(), dtype=float32) 0.804
tf.Tensor(23, shape=(), dtype=int64) tf.Tensor(13.8158865, shape=(), dtype=float32) 0.781
tf.Tensor(24, shape=(), dtype=int64) tf.Tensor(12.453137, shape=(), dtype=float32) 0.781
tf.Tensor(25, shape=(), dtype=int64) tf.Tensor(13.313532, shape=(), dtype=float32) 0.787
tf.Tensor(26, shape=(), dtype=int64) tf.Tensor(14.89236, shape=(), dtype=float32) 0.801
tf.Tensor(27, shape=(), dtype=int64) tf.Tensor(13.071067, shape=(), dtype=float32) 0.781
tf.Tensor(28, shape=(), dtype=int64) tf.Tensor(12.251621, shape=(), dtype=float32) 0.806
tf.Tensor(29, shape=(), dtype=int64) tf.Tensor(13.062496, shape=(), dtype=float32) 0.779
tf.Tensor(30, shape=(), dtype=int64) tf.Tensor(12.143109, shape=(), dtype=float32) 0.79
tf.Tensor(31, shape=(), dtype=int64) tf.Tensor(12.275518, shape=(), dtype=float32) 0.798
tf.Tensor(32, shape=(), dtype=int64) tf.Tensor(14.205371, shape=(), dtype=float32) 0.757
tf.Tensor(33, shape=(), dtype=int64) tf.Tensor(10.937111, shape=(), dtype=float32) 0.79
tf.Tensor(34, shape=(), dtype=int64) tf.Tensor(10.781225, shape=(), dtype=float32) 0.796
tf.Tensor(35, shape=(), dtype=int64) tf.Tensor(12.664332, shape=(), dtype=float32) 0.779
tf.Tensor(36, shape=(), dtype=int64) tf.Tensor(10.717054, shape=(), dtype=float32) 0.797
tf.Tensor(37, shape=(), dtype=int64) tf.Tensor(12.840622, shape=(), dtype=float32) 0.774
tf.Tensor(38, shape=(), dtype=int64) tf.Tensor(11.092256, shape=(), dtype=float32) 0.8
tf.Tensor(39, shape=(), dtype=int64) tf.Tensor(12.086687, shape=(), dtype=float32) 0.8
tf.Tensor(40, shape=(), dtype=int64) tf.Tensor(12.235287, shape=(), dtype=float32) 0.785
tf.Tensor(41, shape=(), dtype=int64) tf.Tensor(10.7101555, shape=(), dtype=float32) 0.805
tf.Tensor(42, shape=(), dtype=int64) tf.Tensor(13.239607, shape=(), dtype=float32) 0.788
tf.Tensor(43, shape=(), dtype=int64) tf.Tensor(10.256713, shape=(), dtype=float32) 0.819
tf.Tensor(44, shape=(), dtype=int64) tf.Tensor(9.97923, shape=(), dtype=float32) 0.81
tf.Tensor(45, shape=(), dtype=int64) tf.Tensor(10.248951, shape=(), dtype=float32) 0.81
tf.Tensor(46, shape=(), dtype=int64) tf.Tensor(11.254219, shape=(), dtype=float32) 0.817
tf.Tensor(47, shape=(), dtype=int64) tf.Tensor(11.78616, shape=(), dtype=float32) 0.779
tf.Tensor(48, shape=(), dtype=int64) tf.Tensor(12.266695, shape=(), dtype=float32) 0.783
tf.Tensor(49, shape=(), dtype=int64) tf.Tensor(9.841661, shape=(), dtype=float32) 0.814
tf.Tensor(50, shape=(), dtype=int64) tf.Tensor(10.3938265, shape=(), dtype=float32) 0.788
tf.Tensor(51, shape=(), dtype=int64) tf.Tensor(12.604643, shape=(), dtype=float32) 0.778
